Dataset Category,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
IO_1s,RandomForest,0.8598142893990198,0.6484395150889863,0.6467454038771555,0.6457061043753299,0.658649917588681,0.6484395150889863
IO_1s,ExtraTrees,0.8494970337890121,0.6303843177714727,0.6285953937930883,0.6269037307149299,0.6375059769975346,0.6303843177714727
IO_1s,LogisticRegression,0.7918493680680939,0.4957441320608718,0.49333053229986357,0.4863932642985679,0.49824320652464327,0.4957441320608718
IO_1s,SVM,0.8090018055197318,0.5046427650245034,0.5024490362850913,0.49482567894143664,0.5296466200926386,0.5046427650245034
IO_1s,XGBoost,0.8591694609233944,0.6281919009543462,0.6263582693107556,0.6272406978898261,0.6356414262383318,0.6281919009543462
IO_1s,DecisionTree,0.5148310549393861,0.5024503482073769,0.49996993307639076,0.5035957984306125,0.5116951837283891,0.5024503482073769
IO_1s,KNN,0.728011348981171,0.4988393087438741,0.49645087641048624,0.496318727905023,0.5177911565373456,0.4988393087438741
IO_1s,NaiveBayes,0.6122001547588342,0.30526180036110395,0.3024253470504652,0.26780210760833667,0.30125515814064024,0.30526180036110395
IO_05s,RandomForest,0.8518184163012639,0.6285787980397214,0.6268193460538793,0.622919916820897,0.6380085743613472,0.6285787980397214
IO_05s,ExtraTrees,0.8331183905081249,0.6071704926489554,0.6052888115872029,0.600252350205322,0.6114113262257361,0.6071704926489554
IO_05s,LogisticRegression,0.7899148826412175,0.4878772246582409,0.4854260992381771,0.47668370253204856,0.4855372523472358,0.4878772246582409
IO_05s,SVM,0.8110652566417333,0.4846530822801135,0.4823567488232259,0.47308065919705716,0.5079393482525969,0.4846530822801135
IO_05s,XGBoost,0.8460149600206345,0.6143925715759608,0.6124818199891064,0.6139468710006247,0.621786787354429,0.6143925715759608
IO_05s,DecisionTree,0.5009027598658756,0.4900696414753676,0.48752407749202564,0.48988291667223655,0.4962490781970243,0.4900696414753676
IO_05s,KNN,0.6891926747485169,0.4378385349497034,0.43518035217997436,0.4319378711311438,0.4529135709880552,0.4378385349497034
IO_05s,NaiveBayes,0.5928553004900696,0.28965695125096724,0.28689512026241626,0.253583856409508,0.2914987054450369,0.28965695125096724
IO_02s,RandomForest,0.8391797781790044,0.5962084085633221,0.5942926885505748,0.5896758181600058,0.6047180242386354,0.5962084085633221
IO_02s,ExtraTrees,0.825380448800619,0.5718338921846788,0.5697994969034158,0.5654471415584927,0.5803778971552365,0.5718338921846788
IO_02s,LogisticRegression,0.7922362651534692,0.4721434098529791,0.46966883216161953,0.459828360208445,0.4739769567783891,0.4721434098529791
IO_02s,SVM,0.7998452411658499,0.46401857106009803,0.4616437121161414,0.45134639040365254,0.48793706877154147,0.46401857106009803
IO_02s,XGBoost,0.8460149600206345,0.5925973690998194,0.590585014907033,0.5925060303180948,0.6019993801664097,0.5925973690998194
IO_02s,DecisionTree,0.45460407531596597,0.44209440288883156,0.43931910659198653,0.44301753623502793,0.4510115491221465,0.44209440288883156
IO_02s,KNN,0.6467629610523601,0.3874129481557906,0.38452402530269814,0.3840043140243727,0.41202788527975914,0.3874129481557906
IO_02s,NaiveBayes,0.558679391281919,0.24310033531080733,0.24060181405147374,0.2095708133089707,0.25821490303918804,0.24310033531080733
IO_01s,RandomForest,0.8297652824348724,0.5811194222336858,0.5791419463868046,0.573966751150947,0.5888964565457175,0.5811194222336858
IO_01s,ExtraTrees,0.8117100851173588,0.5610007737941708,0.5589131447650771,0.5541983324658109,0.5679268215207528,0.5610007737941708
IO_01s,LogisticRegression,0.7872066030435904,0.4646633995357235,0.4621370574442045,0.45301105876211517,0.46653049362884647,0.4646633995357235
IO_01s,SVM,0.7860459117874645,0.4481557905597111,0.44569657522262734,0.43378461068797597,0.46810288285893004,0.4481557905597111
IO_01s,XGBoost,0.8326025277276244,0.5693835439773021,0.567254990648006,0.5678526698599357,0.575678163761803,0.5693835439773021
IO_01s,DecisionTree,0.4383543977302038,0.424039205571318,0.4211864676646384,0.42570549158258764,0.43555876042172126,0.424039205571318
IO_01s,KNN,0.6390250193448542,0.37155016765540366,0.3685834368325948,0.3682684428604201,0.39284345468116444,0.37155016765540366
IO_01s,NaiveBayes,0.558679391281919,0.25328862522568996,0.2504053884740103,0.22075398364599824,0.2559314093050189,0.25328862522568996
IO,RandomForest,0.8641991230332732,0.6324477688934743,0.6307152091160293,0.625817012403266,0.6397642371667911,0.6324477688934743
IO,ExtraTrees,0.8554294557647666,0.6189063709053392,0.6171067396331853,0.6107799491235765,0.6248852536853389,0.6189063709053392
IO,LogisticRegression,0.8105493938612329,0.4953572349754965,0.4929365920021096,0.4852248579964936,0.4964078434052872,0.4953572349754965
IO,SVM,0.8246066546298685,0.5030951766830023,0.5008406313121057,0.4889612438745452,0.5113757432620059,0.5030951766830023
IO,XGBoost,0.8577508382770184,0.6115553262832086,0.6096407604372772,0.6099728373546147,0.6180318642864658,0.6115553262832086
IO,DecisionTree,0.5056744905855043,0.49406757802424556,0.49154936620919437,0.4935211787410271,0.5001796404500438,0.49406757802424556
IO,KNN,0.6619809130771215,0.3888315708021666,0.38592581051352254,0.385346776188966,0.4070095437297353,0.3888315708021666
IO,NaiveBayes,0.636058808356977,0.3220273407273665,0.31932565978770205,0.28038552522913635,0.30478834858474974,0.3220273407273665
